filename,title,year,identifier,priority,family,why_related,acquisition,status,pages,bytes,sha256,source_url
"gavis_2605_30342.pdf","Uncertainty-driven 3D Gaussian Splatting Active Mapping via Anisotropic Visibility Field","2026","arXiv:2605.30342","P2","GS_active_mapping","Adjacent anisotropic GS visibility and active-mapping work; outside static planning core","preexisting_in_rw_verified","open_access_downloaded_verified","29","18960513","4bb109ef60a28a23a92c1085f466ae69efe05fed942bed7b6b6f951ed9f523d3","https://arxiv.org/abs/2605.30342"
"h_ntfields_2604_13204.pdf","Weakly-supervised Learning for Physics-informed Neural Motion Planning via Sparse Roadmap","2026","arXiv:2604.13204","P0","value_field_planning","H-NTFields exposes global-topology failure of PDE-only value fields and uses sparse-roadmap anchors","downloaded_arxiv_this_run","open_access_downloaded_verified","9","3537261","e7929113920f45c86dc9fa83c305308b1d5625a5da3cd3b314b6f0bec5774332","https://arxiv.org/abs/2604.13204"
"hj_policy_iteration_deeponet_2406_10920.pdf","Hamilton-Jacobi Based Policy-Iteration via Deep Operator Learning","2024","arXiv:2406.10920","P0","HJB_operator","HJB solution operator across terminal functions with optimal-control inference","downloaded_arxiv_this_run","open_access_downloaded_verified","24","1738903","9ec84b34094d546b2d9cbda1736eafc74563a5575c40255e0fd7e15f2bc1b112","https://arxiv.org/abs/2406.10920"
"hjrno_2504_19989.pdf","HJRNO: Hamilton-Jacobi Reachability with Neural Operators","2025","arXiv:2504.19989","P0","HJI_operator","Closest neural-operator collision for obstacle and dynamics conditioned HJ value functions","reused_verified_local_oa_copy","open_access_downloaded_verified","22","4104102","c771081bbb06ea64d3ed847052543cc1c73f39e74cd78f9bb03d53ae0f1900f4","https://arxiv.org/abs/2504.19989"
"mean_field_wasserstein_operator_2210_15179.pdf","Mean-field neural networks: learning mappings on Wasserstein space","2022","arXiv:2210.15179","P0","measure_operator","Direct measure-to-function operator precedent on Wasserstein space","downloaded_arxiv_this_run","open_access_downloaded_verified","35","3159577","5045943b2e3bc92013d0ba5a0664fc0487c44f54153d47db83e496e9f07dc43b","https://arxiv.org/abs/2210.15179"
"neural_navigation_functions_2606_03756.pdf","Neural Navigation Functions for Zero-Shot Generalizable Motion Planning","2026","arXiv:2606.03756","P0","value_field_planning","Zero-shot globally structured navigation-function baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","17","11152678","4e6b480664946cc22b9f064ed6886c2e9829ba0bc983b9596e6a9315a23a2c1a","https://arxiv.org/abs/2606.03756"
"ntfields_2210_00120.pdf","NTFields: Neural Time Fields for Physics-Informed Robot Motion Planning","2022","arXiv:2210.00120","P0","value_field_planning","Physics-informed Eikonal arrival-time field and gradient planning baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","17","7200719","976a898b6d4ee33a268a05ef2c4803604d6ba53e726a70c6d51d9dfd8860d95c","https://arxiv.org/abs/2210.00120"
"pc_planner_2410_12805.pdf","PC-Planner: Physics-Constrained Self-Supervised Learning for Robust Neural Motion Planning with Shape-Aware Distance Function","2024","arXiv:2410.12805","P1","value_field_planning","Shape-aware distance and physics-constrained neural planning baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","14","46777930","82f5dd8670126519550b4affec2d330ea36db4174ffe93ebcd39514859f3318f","https://arxiv.org/abs/2410.12805"
"perception_aware_time_optimal_quadrotor_2603_04305.pdf","Perception-Aware Time-Optimal Planning for Quadrotor Waypoint Flight","2026","arXiv:2603.04305","P0","full_UAV_dynamics","Strong full nonlinear dynamics rotor aerodynamic geometry and perception planning baseline","downloaded_arxiv_this_run","open_access_downloaded_verified","21","12766132","a9eaf4809b30e32ad2a6a69de4161af25e113422ac10dd8b3d4195a0479ca47a","https://arxiv.org/abs/2603.04305"
"planning_neural_operator_2410_17547.pdf","Generalizable Motion Planning via Operator Learning","2024","arXiv:2410.17547","P0","value_solution_operator","Strongest substitute: cost-field to Eikonal-value solution operator across maps goals and resolutions","reused_verified_local_oa_copy","open_access_downloaded_verified","25","8300627","7eae428da984aa73e384f1b236ff11ed7349bba11dd6b8d98473d7fe1d0f5c7f","https://arxiv.org/abs/2410.17547"
"reno_2305_19913.pdf","Representation Equivalent Neural Operators: a Framework for Alias-free Operator Learning","2023","arXiv:2305.19913","P0","representation_invariance","Operator aliasing and representation-equivalence baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","28","859349","343c41a1327600bd5a9e5c30af23e5303527213a38f55a45d7ad4cec33696d3d","https://arxiv.org/abs/2305.19913"
"safer_splat_2409_09868.pdf","A Control Barrier Function for Safe Navigation with Online Gaussian Splatting Maps","2024","arXiv:2409.09868","P0","native_GS_safety","Scalable online GS CBF action-filter baseline","preexisting_in_rw_verified","open_access_downloaded_verified","8","5295520","661eade970b5cb4101d672e32cbe15496702996da4565e34011a7b2f36dcb24f","https://arxiv.org/abs/2409.09868"
"splanning_2409_16915.pdf","Let's Make a Splan: Risk-Aware Trajectory Optimization in a Normalized Gaussian Splat","2024","arXiv:2409.16915","P0","native_GS_planning","Collision-probability upper bound and normalized-GS trajectory optimization","downloaded_arxiv_this_run","open_access_downloaded_verified","20","13890512","3f80ca1b7240e141829fb3511ac732d6e4e93b11bd7e65638aa33305e16e9320","https://arxiv.org/abs/2409.16915"
"splatnav_2403_02751.pdf","Splat-Nav: Safe Real-Time Robot Navigation in Gaussian Splatting Maps","2024","arXiv:2403.02751","P0","native_GS_planning","Native-GS safe-polytope and Bezier global-planning baseline","preexisting_in_rw_verified","open_access_downloaded_verified","20","30055383","177c23604a70e21096dbc296172a045f2517e671f8a4e05fa285f894441aa84c","https://arxiv.org/abs/2403.02751"
"time_optimal_quadrotor_2108_04537.pdf","Time-Optimal Planning for Quadrotor Waypoint Flight","2021","arXiv:2108.04537","P0","full_UAV_dynamics","Standard full-actuation time-optimal quadrotor planning baseline","downloaded_arxiv_this_run","open_access_downloaded_verified","19","7156708","880b1f0c8d96d3d0213c103c32bd20566e4bc7820f223677293442a6470c591f","https://arxiv.org/abs/2108.04537"
"quadrotor_stable_manifold_hjb_2025.pdf","Optimal control for quadrotors UAV based on deep neural network approximations of stable manifold of HJB equation","2025","DOI:10.1080/00051144.2025.2461827","P0","full_UAV_HJB_feedback","Direct 12D quadrotor neural-HJB feedback collision; fixed stabilization task rather than scene-conditioned planning","publisher_open_access_attempted","open_access_pdf_download_blocked_http_403","","","","https://doi.org/10.1080/00051144.2025.2461827"
